CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF,dummy,STYs,ICD10CMCode,concept_code,concept_id
C2844903,ENG,P,L9360950,PF,S11655528,N,A17805222,,,S52.225Q,ICD10CM,PT,S52.225Q,"Nondisplaced transverse fracture of shaft of left ulna, subsequent encounter for open fracture type I or II with malunion",4,N,,,['Injury or Poisoning'],S52225Q,S52.225Q,45535193
C2844905,ENG,P,L9412088,PF,S11655522,Y,A17856239,,,S52.225S,ICD10CM,PT,S52.225S,"Nondisplaced transverse fracture of shaft of left ulna, sequela",4,N,,,['Injury or Poisoning'],S52225S,S52.225S,45559193
C2844916,ENG,P,L9350663,PF,S11655695,N,A17869132,,,S52.226K,ICD10CM,PT,S52.226K,"Nondisplaced transverse fracture of shaft of unspecified ulna, subsequent encounter for closed fracture with nonunion",4,N,,,['Injury or Poisoning'],S52226K,S52.226K,45593119
C2844925,ENG,P,L9378679,PF,S11631047,N,A17779674,,,S52.231A,ICD10CM,PT,S52.231A,"Displaced oblique fracture of shaft of right ulna, initial encounter for closed fracture",4,N,,,['Injury or Poisoning'],S52231A,S52.231A,45573767
C2844929,ENG,P,L9409106,PF,S11631058,N,A17856245,,,S52.231E,ICD10CM,PT,S52.231E,"Displaced oblique fracture of shaft of right ulna, subsequent encounter for open fracture type I or II with routine healing",4,N,,,['Injury or Poisoning'],S52231E,S52.231E,45540059
C2844931,ENG,P,L9398878,PF,S11631051,N,A17869133,,,S52.231G,ICD10CM,PT,S52.231G,"Displaced oblique fracture of shaft of right ulna, subsequent encounter for closed fracture with delayed healing",4,N,,,['Injury or Poisoning'],S52231G,S52.231G,45559195
C2844934,ENG,P,L9347741,PF,S11631053,N,A17818145,,,S52.231K,ICD10CM,PT,S52.231K,"Displaced oblique fracture of shaft of right ulna, subsequent encounter for closed fracture with nonunion",4,N,,,['Injury or Poisoning'],S52231K,S52.231K,45583397
C2844948,ENG,P,L9409093,PF,S11630966,N,A17869138,,,S52.232G,ICD10CM,PT,S52.232G,"Displaced oblique fracture of shaft of left ulna, subsequent encounter for closed fracture with delayed healing",4,N,,,['Injury or Poisoning'],S52232G,S52.232G,45593121
C2844968,ENG,P,L9388843,PF,S11631138,N,A17856249,,,S52.233K,ICD10CM,PT,S52.233K,"Displaced oblique fracture of shaft of unspecified ulna, subsequent encounter for closed fracture with nonunion",4,N,,,['Injury or Poisoning'],S52233K,S52.233K,45593123
C2844971,ENG,P,L9337604,PF,S11631137,N,A17805230,,,S52.233P,ICD10CM,PT,S52.233P,"Displaced oblique fracture of shaft of unspecified ulna, subsequent encounter for closed fracture with malunion",4,N,,,['Injury or Poisoning'],S52233P,S52.233P,45544879
C2844973,ENG,P,L9388846,PF,S11631145,N,A17869143,,,S52.233R,ICD10CM,PT,S52.233R,"Displaced oblique fracture of shaft of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",4,N,,,['Injury or Poisoning'],S52233R,S52.233R,45568852
C2845012,ENG,P,L9340356,PF,S11654441,N,A17792402,,,S52.236C,ICD10CM,PT,S52.236C,"Nondisplaced oblique fracture of shaft of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",4,N,,,['Injury or Poisoning'],S52236C,S52.236C,45573769
C2845014,ENG,P,L9401598,PF,S11654450,N,A17818152,,,S52.236E,ICD10CM,PT,S52.236E,"Nondisplaced oblique fracture of shaft of unspecified ulna, subsequent encounter for open fracture type I or II with routine healing",4,N,,,['Injury or Poisoning'],S52236E,S52.236E,45593129
C2845016,ENG,P,L9411952,PF,S11654443,N,A17830959,,,S52.236G,ICD10CM,PT,S52.236G,"Nondisplaced oblique fracture of shaft of unspecified ulna, subsequent encounter for closed fracture with delayed healing",4,N,,,['Injury or Poisoning'],S52236G,S52.236G,45573770
C2845033,ENG,P,L9368432,PF,S11631818,N,A17818154,,,S52.241F,ICD10CM,PT,S52.241F,"Displaced spiral fracture of shaft of ulna, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",4,N,,,['Injury or Poisoning'],S52241F,S52.241F,45578518
C2845038,ENG,P,L9358078,PF,S11631813,N,A17869151,,,S52.241M,ICD10CM,PT,S52.241M,"Displaced spiral fracture of shaft of ulna, right arm, subsequent encounter for open fracture type I or II with nonunion",4,N,,,['Injury or Poisoning'],S52241M,S52.241M,45564023
C2845043,ENG,P,L9358076,PF,S11631806,Y,A17830966,,,S52.241S,ICD10CM,PT,S52.241S,"Displaced spiral fracture of shaft of ulna, right arm, sequela",4,N,,,['Injury or Poisoning'],S52241S,S52.241S,45554480
C2845044,ENG,P,L9378784,PF,S11631802,Y,A17830967,,,S52.242,ICD10CM,HT,S52.242,"Displaced spiral fracture of shaft of ulna, left arm",4,N,,,['Injury or Poisoning'],S52242,S52.242,12876
C2845045,ENG,P,L9358074,PF,S11631786,N,A17830968,,,S52.242A,ICD10CM,PT,S52.242A,"Displaced spiral fracture of shaft of ulna, left arm, initial encounter for closed fracture",4,N,,,['Injury or Poisoning'],S52242A,S52.242A,45602726
C2845047,ENG,P,L9347836,PF,S11631788,N,A17856259,,,S52.242C,ICD10CM,PT,S52.242C,"Displaced spiral fracture of shaft of ulna, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",4,N,,,['Injury or Poisoning'],S52242C,S52.242C,45568859
C2845048,ENG,P,L9409191,PF,S11631793,N,A17856260,,,S52.242D,ICD10CM,PT,S52.242D,"Displaced spiral fracture of shaft of ulna, left arm, subsequent encounter for closed fracture with routine healing",4,N,,,['Injury or Poisoning'],S52242D,S52.242D,45564025
C2845080,ENG,P,L9340439,PF,S11655111,N,A17818155,,,S52.244B,ICD10CM,PT,S52.244B,"Nondisplaced spiral fracture of shaft of ulna, right arm, initial encounter for open fracture type I or II",4,N,,,['Injury or Poisoning'],S52244B,S52.244B,45583404
C2845091,ENG,P,L9340440,PF,S11655115,N,A17856267,,,S52.244P,ICD10CM,PT,S52.244P,"Nondisplaced spiral fracture of shaft of ulna, right arm, subsequent encounter for closed fracture with malunion",4,N,,,['Injury or Poisoning'],S52244P,S52.244P,45540065
C2845095,ENG,P,L9412031,PF,S11655109,Y,A17792413,,,S52.245,ICD10CM,HT,S52.245,"Nondisplaced spiral fracture of shaft of ulna, left arm",4,N,,,['Injury or Poisoning'],S52245,S52.245,12879
C2845103,ENG,P,L9391572,PF,S11655101,N,A17818159,,,S52.245H,ICD10CM,PT,S52.245H,"Nondisplaced spiral fracture of shaft of ulna, left arm, subsequent encounter for open fracture type I or II with delayed healing",4,N,,,['Injury or Poisoning'],S52245H,S52.245H,45583406
C2845106,ENG,P,L9340435,PF,S11655103,N,A17869162,,,S52.245M,ICD10CM,PT,S52.245M,"Nondisplaced spiral fracture of shaft of ulna, left arm, subsequent encounter for open fracture type I or II with nonunion",4,N,,,['Injury or Poisoning'],S52245M,S52.245M,45583407
C2845115,ENG,P,L9340443,PF,S11655129,N,A17843642,,,S52.246C,ICD10CM,PT,S52.246C,"Nondisplaced spiral fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",4,N,,,['Injury or Poisoning'],S52246C,S52.246C,45544888
C2845116,ENG,P,L9350595,PF,S11655134,N,A17843643,,,S52.246D,ICD10CM,PT,S52.246D,"Nondisplaced spiral fracture of shaft of ulna, unspecified arm, subsequent encounter for closed fracture with routine healing",4,N,,,['Injury or Poisoning'],S52246D,S52.246D,45535208
C2845125,ENG,P,L9360894,PF,S11655132,N,A17805242,,,S52.246P,ICD10CM,PT,S52.246P,"Nondisplaced spiral fracture of shaft of ulna, unspecified arm, subsequent encounter for closed fracture with malunion",4,N,,,['Injury or Poisoning'],S52246P,S52.246P,45554486
C2845133,ENG,P,L9337203,PF,S11627750,N,A17792418,,,S52.251C,ICD10CM,PT,S52.251C,"Displaced comminuted fracture of shaft of ulna, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",4,N,,,['Injury or Poisoning'],S52251C,S52.251C,45602729
C2845139,ENG,P,L9337205,PF,S11627760,N,A17779707,,,S52.251J,ICD10CM,PT,S52.251J,"Displaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",4,N,,,['Injury or Poisoning'],S52251J,S52.251J,45573776
C2845146,ENG,P,L9347334,PF,S11627751,N,A17792420,,,S52.251S,ICD10CM,PT,S52.251S,"Displaced comminuted fracture of shaft of ulna, right arm, sequela",4,N,,,['Injury or Poisoning'],S52251S,S52.251S,45554487
C2845149,ENG,P,L9347332,PF,S11627732,N,A17843648,,,S52.252B,ICD10CM,PT,S52.252B,"Displaced comminuted fracture of shaft of ulna, left arm, initial encounter for open fracture type I or II",4,N,,,['Injury or Poisoning'],S52252B,S52.252B,45602731
C2845155,ENG,P,L9378278,PF,S11627739,N,A17869167,,,S52.252H,ICD10CM,PT,S52.252H,"Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for open fracture type I or II with delayed healing",4,N,,,['Injury or Poisoning'],S52252H,S52.252H,45535211
C2845159,ENG,P,L9398444,PF,S11627745,N,A17843650,,,S52.252N,ICD10CM,PT,S52.252N,"Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",4,N,,,['Injury or Poisoning'],S52252N,S52.252N,45602733
C2845163,ENG,P,L9408683,PF,S11627734,N,A17843652,,,S52.252S,ICD10CM,PT,S52.252S,"Displaced comminuted fracture of shaft of ulna, left arm, sequela",4,N,,,['Injury or Poisoning'],S52252S,S52.252S,45602734
C2845168,ENG,P,L9357581,PF,S11627772,N,A17818166,,,S52.253D,ICD10CM,PT,S52.253D,"Displaced comminuted fracture of shaft of ulna, unspecified arm, subsequent encounter for closed fracture with routine healing",4,N,,,['Injury or Poisoning'],S52253D,S52.253D,45564032
C2845177,ENG,P,L9347336,PF,S11627770,N,A17818168,,,S52.253P,ICD10CM,PT,S52.253P,"Displaced comminuted fracture of shaft of ulna, unspecified arm, subsequent encounter for closed fracture with malunion",4,N,,,['Injury or Poisoning'],S52253P,S52.253P,45568865
C2845182,ENG,P,L9381001,PF,S11651032,N,A17792422,,,S52.254A,ICD10CM,PT,S52.254A,"Nondisplaced comminuted fracture of shaft of ulna, right arm, initial encounter for closed fracture",4,N,,,['Injury or Poisoning'],S52254A,S52.254A,45559209
C2845187,ENG,P,L9350088,PF,S11651047,N,A17818170,,,S52.254F,ICD10CM,PT,S52.254F,"Nondisplaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",4,N,,,['Injury or Poisoning'],S52254F,S52.254F,45583409
C2845205,ENG,P,L9380999,PF,S11651019,N,A17843655,,,S52.255G,ICD10CM,PT,S52.255G,"Nondisplaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for closed fracture with delayed healing",4,N,,,['Injury or Poisoning'],S52255G,S52.255G,45535216
