code,code_type,description,concept_id,code_class
I70.534,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of heel and midfoot,45552835,pvd
I70.541,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of thigh,45581804,pvd
I70.543,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of ankle,45538428,pvd
I70.568,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, other extremity",45557582,pvd
I70.591,ICD10CM,"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, right leg",45591503,pvd
I70.601,ICD10CM,"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, right leg",45533491,pvd
I70.612,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, left leg",45557584,pvd
I70.628,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, other extremity",45557587,pvd
I70.641,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of thigh,45576913,pvd
I70.701,ICD10CM,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, right leg",45605840,pvd
I70.702,ICD10CM,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, left leg",45552839,pvd
I70.745,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of other part of foot,45586622,pvd
I70.768,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, other extremity",45576915,pvd
I71.4,ICD10CM,"Abdominal aortic aneurysm, without rupture",35207847,pvd
I71.00,ICD10CM,Dissection of unspecified site of aorta,45581811,pvd
I71.5,ICD10CM,"Thoracoabdominal aortic aneurysm, ruptured",35207848,pvd
I70.202,ICD10CM,"Unspecified atherosclerosis of native arteries of extremities, left leg",45572116,pvd
I70.233,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of ankle,45548057,pvd
I70.234,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of heel and midfoot,45557569,pvd
I70.235,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of other part of foot,45605831,pvd
I70.292,ICD10CM,"Other atherosclerosis of native arteries of extremities, left leg",45557570,pvd
I70.311,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, right leg",45581801,pvd
I70.328,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, other extremity",45552828,pvd
I70.332,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of calf,45596237,pvd
I70.339,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of unspecified site,45567212,pvd
I70.418,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, other extremity",45605835,pvd
I70.432,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of calf,45586615,pvd
I70.444,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of heel and midfoot,45538426,pvd
I70.539,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of unspecified site,45576910,pvd
I70.629,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, unspecified extremity",45562398,pvd
I70.642,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of calf,45562400,pvd
I70.692,ICD10CM,"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, left leg",45591509,pvd
I70.698,ICD10CM,"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, other extremity",45552838,pvd
I70.699,ICD10CM,"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, unspecified extremity",45591510,pvd
I70.1,ICD10CM,Atherosclerosis of renal artery,35207842,pvd
