CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF,dummy,STYs,PREFIX_CODE,ICD10CMCode,concept_code,concept_id,domain_id
C0029495,ENG,P,L0544257,PF,S0703346,N,A17812452,,,E06.5,ICD10CM,PT,E06.5,Other chronic thyroiditis,4,N,256.0,,['Disease or Syndrome'],E06,E065,E06.5,35206870,Condition
C0029543,ENG,P,L0029543,PF,S0218143,Y,A17851310,,,H10.45,ICD10CM,PT,H10.45,Other chronic allergic conjunctivitis,4,N,256.0,,['Disease or Syndrome'],H10,H1045,H10.45,45533220,Condition
C0029632,ENG,P,L0029632,PF,S0217904,N,A17837946,,,D58.2,ICD10CM,PT,D58.2,Other hemoglobinopathies,4,N,256.0,,['Disease or Syndrome'],D58,D582,D58.2,35206728,Condition
C0029681,ENG,P,L0029681,PF,S0218159,Y,A17851560,,,H46.8,ICD10CM,PT,H46.8,Other optic neuritis,4,N,256.0,,['Disease or Syndrome'],H46,H468,H46.8,45581685,Condition
C0029695,ENG,S,L9412971,PF,S11662984,Y,A18921558,,,H60.8X9,ICD10CM,PT,H60.8X9,"Other otitis externa, unspecified ear",4,N,256.0,,['Disease or Syndrome'],H60,H608X9,H60.8X9,45605726,Condition
C0029706,ENG,S,L9361900,PF,S11663045,Y,A17826258,,,H81.399,ICD10CM,PT,H81.399,"Other peripheral vertigo, unspecified ear",4,N,256.0,,['Disease or Syndrome'],H81,H81399,H81.399,45591436,Condition
C0029772,ENG,P,L0029772,PF,S0705389,N,A17801726,,,M27.8,ICD10CM,PT,M27.8,Other specified diseases of jaws,4,N,256.0,,['Disease or Syndrome'],M27,M278,M27.8,45606212,Condition
C0029776,ENG,P,L0029776,PF,S0218525,N,A17802449,,,N32.89,ICD10CM,PT,N32.89,Other specified disorders of bladder,4,N,256.0,,['Disease or Syndrome'],N32,N3289,N32.89,45606490,Condition
C0029793,ENG,P,L0029793,PF,S0217841,N,A17799668,,,E34.8,ICD10CM,PT,E34.8,Other specified endocrine disorders,4,N,256.0,,['Disease or Syndrome'],E34,E348,E34.8,35206961,Condition
C0029803,ENG,P,L1223109,PF,S0705465,N,A17773623,,,B83.8,ICD10CM,PT,B83.8,Other specified helminthiases,4,N,256.0,,['Disease or Syndrome'],B83,B838,B83.8,35205991,Condition
C0030353,ENG,S,L0601259,VCW,S0752839,Y,A17826124,,,H47.10,ICD10CM,PT,H47.10,Unspecified papilledema,4,N,256.0,,['Disease or Syndrome'],H47,H4710,H47.10,45547913,Condition
C0030409,ENG,S,L0601307,PF,S0710482,N,A17786370,,,B41.9,ICD10CM,PT,B41.9,"Paracoccidioidomycosis, unspecified",4,N,256.0,,['Disease or Syndrome'],B41,B419,B41.9,35205851,Condition
C0030424,ENG,P,L0030424,PF,S0070819,N,A17850319,,,B66.4,ICD10CM,PT,B66.4,Paragonimiasis,4,N,256.0,,['Disease or Syndrome'],B66,B664,B66.4,35205934,Condition
C0030528,ENG,S,L0573526,PF,S0710836,N,A17811766,,,A01.4,ICD10CM,PT,A01.4,"Paratyphoid fever, unspecified",4,N,256.0,,['Disease or Syndrome'],A01,A014,A01.4,35205402,Condition
C0031946,ENG,S,L0602721,PF,S0714541,N,A17850184,,,A67.9,ICD10CM,PT,A67.9,"Pinta, unspecified",4,N,256.0,,['Disease or Syndrome'],A67,A679,A67.9,35205629,Condition
C0032231,ENG,P,L0032231,PF,S0074437,N,A17841664,,,R09.1,ICD10CM,PT,R09.1,Pleurisy,4,N,256.0,,['Disease or Syndrome'],R09,R091,R09.1,35211286,Condition
C0032249,ENG,S,L0037058,PF,S0000587,N,A17850679,,,D50.1,ICD10CM,PT,D50.1,Sideropenic dysphagia,4,N,256.0,,['Disease or Syndrome'],D50,D501,D50.1,35206693,Condition
C0032650,ENG,S,L9384849,PF,S11682870,Y,A17789160,,,M71.20,ICD10CM,PT,M71.20,"Synovial cyst of popliteal space [Baker], unspecified knee",4,N,,,['Anatomical Abnormality'],M71,M7120,M71.20,45557975,Condition
C0032763,ENG,S,L0032764,VO,S0218444,N,A17775608,,,K91.1,ICD10CM,PT,K91.1,Postgastric surgery syndromes,4,N,256.0,,['Disease or Syndrome'],K91,K911,K91.1,35208408,Condition
C0032858,ENG,S,L9373569,VC,S11674210,Y,A32093157,,,A84.81,ICD10CM,PT,A84.81,Powassan virus disease,4,N,256.0,,['Disease or Syndrome'],A84,A8481,A84.81,725209,Condition
C0032897,ENG,P,L0032897,VC,S0397282,N,A30932640,,,Q87.11,ICD10CM,PT,Q87.11,Prader-Willi syndrome,4,N,256.0,,['Disease or Syndrome'],Q87,Q8711,Q87.11,1553842,Condition
